domain_name,label,language,malicious_tags,all_tags,word_count,domain_length,posts,profile,visit,skip,report,blog,content,search,powered,well,use,link,contact,business,email,everything,new,home,page,create,website,services,free,data,facebook,account,designed,things,outdated,insecure,policy,service,support,help,privacy,learn,information,management,time,health,events,view,news,best,find,online,read,standard,school
www.amazonaws.com,0,en,5,1464,2100,17,0,14,0,2,0,0,4,0,1,1,6,0,3,6,0,0,14,0,0,3,0,14,5,12,0,4,0,0,0,0,0,4,10,5,2,12,0,3,2,1,1,23,0,4,1,0,1,0,0
secure.d2a15n3.rootcanary.net,0,en,7,91,161,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
network.infornexus.com,0,en,22,85,51,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unifiedportal-emp.epfindia.gov.in,0,en,17,264,329,33,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,3,1,0,1,1,2,1,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
abiomed.com,0,en,6,414,457,11,0,0,0,1,0,2,1,6,0,0,2,0,1,0,0,0,0,1,0,0,0,4,0,1,0,0,1,0,0,0,1,0,5,2,1,6,1,0,0,8,0,0,2,1,1,1,3,0,0
www.heathrow.com,0,en,35,3413,927,16,0,2,0,1,0,5,1,2,0,0,0,0,1,0,0,0,2,1,0,0,0,5,4,0,0,2,1,0,0,0,0,0,1,2,1,0,2,0,1,1,0,0,1,2,7,2,0,0,0
www.pyramydair.com,0,en,6,1315,1362,18,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,1,5,0,0,1,1,2,2,1,0,3,0,0,0,0,3,0,2,4,3,0,0,0,0,0,0,11,1,2,6,3,1,0,0
paycheckcity.com,0,en,1,434,807,16,0,0,0,1,0,0,1,0,0,0,2,0,0,7,1,1,2,2,1,2,0,0,10,1,1,1,1,0,0,0,0,1,0,2,1,0,1,0,4,0,0,0,0,1,0,0,1,0,0
jaggaer.com,0,en,9,1724,909,11,0,0,0,0,2,2,0,2,0,0,0,0,2,9,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,1,0,3,0,1,3,2,9,1,0,2,3,2,0,2,0,12,0,0
forums.stevehoffman.tv,0,en,8,479,385,22,2,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,4,1,1,0,0,0,0,1,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brightsignnetwork.com,0,en,18,115,1639,21,0,0,0,0,0,0,17,0,0,0,18,0,0,1,0,0,1,0,0,1,0,37,0,4,0,2,1,0,0,0,0,4,0,0,2,0,2,0,4,0,0,0,0,0,1,1,2,0,0
